schema_version,program_id,year,category,requested_period_start,requested_period_end,coverage_evidence_class,verified_existing_observation_version_count_by_reference_year,verified_existing_observation_version_count_by_availability_year,verified_existing_unique_reference_period_count,verified_existing_series_count,verified_existing_earliest_reference_date,verified_existing_latest_reference_date,prospective_metadata_approved_route_count,prospective_metadata_distinct_indicator_count,prospective_metadata_release_bundle_count,prospective_metadata_expected_coverage,key_or_license_review_route_count,availability_or_version_unresolved_route_count,current_revised_only_route_count,rejected_route_count,missing_or_unapproved_families,observation_count_semantics,config_sha256
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2002,INFLATION,2002-01-01,2002-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2002,LABOUR,2002-01-01,2002-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2002,GROWTH,2002-01-01,2002-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2002,MONETARY_POLICY,2002-01-01,2002-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2002,LIQUIDITY,2002-01-01,2002-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2003,INFLATION,2003-01-01,2003-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2003,LABOUR,2003-01-01,2003-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2003,GROWTH,2003-01-01,2003-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2003,MONETARY_POLICY,2003-01-01,2003-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2003,LIQUIDITY,2003-01-01,2003-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,1,0,1,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2004,INFLATION,2004-01-01,2004-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2004,LABOUR,2004-01-01,2004-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2004,GROWTH,2004-01-01,2004-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2004,MONETARY_POLICY,2004-01-01,2004-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2004,LIQUIDITY,2004-01-01,2004-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,1,0,1,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2005,INFLATION,2005-01-01,2005-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2005,LABOUR,2005-01-01,2005-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2005,GROWTH,2005-01-01,2005-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2005,MONETARY_POLICY,2005-01-01,2005-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2005,LIQUIDITY,2005-01-01,2005-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,1,0,1,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2006,INFLATION,2006-01-01,2006-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2006,LABOUR,2006-01-01,2006-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2006,GROWTH,2006-01-01,2006-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2006,MONETARY_POLICY,2006-01-01,2006-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2006,LIQUIDITY,2006-01-01,2006-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,1,0,1,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2007,INFLATION,2007-01-01,2007-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2007,LABOUR,2007-01-01,2007-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2007,GROWTH,2007-01-01,2007-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2007,MONETARY_POLICY,2007-01-01,2007-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,0,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2007,LIQUIDITY,2007-01-01,2007-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,1,0,1,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2008,INFLATION,2008-01-01,2008-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2008,LABOUR,2008-01-01,2008-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2008,GROWTH,2008-01-01,2008-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2008,MONETARY_POLICY,2008-01-01,2008-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,1,1,1,YES,2,0,0,0,TARGET_RANGE_OPTIONAL_AND_KEY_GATED; H15_EFFR_IS_APPROVED_MINIMUM_PATH,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2008,LIQUIDITY,2008-01-01,2008-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,1,0,1,0,ZERO_VERIFIED_ROWS; RRP_VINTAGES_NOT_APPROVED; H6_AND_H41_ARCHIVES_ARE_PROSPECTIVE_ONLY,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2009,INFLATION,2009-01-01,2009-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,0,0,0,0,NONE_AFTER_BOUNDED_ARCHIVE_COLLECTION; VERIFIED_ROWS_STILL_ONLY_HEADLINE_CPI_2017_PLUS,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2009,LABOUR,2009-01-01,2009-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,5,5,3,YES,1,2,0,0,CLAIMS_BUNDLE_UNRESOLVED_PENDING_DOL_ARCHIVE_OR_FREE_ALFRED_KEY_REVIEW,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
1.0.0,SMART-MARKETSCOPE-MACRO-REGIME-NAS100-001,2009,GROWTH,2009-01-01,2009-12-31,PROSPECTIVE_METADATA_ONLY,0,0,0,0,,,4,4,4,YES,0,0,0,3,SERVICES_BUNDLE_UNPOPULATED; PRIVATE_ISM_AND_PMI_NOT_APPROVED,ONLY_ROLE2_VERIFIED_ROWS_ARE_COUNTED; PROSPECTIVE_METADATA_HAS_NO_FABRICATED_ROWS,be02e79bca74014a2686bbe10ea4468f650d3b3d6809651717f4d98066e943cb
